batter,matches,runs,balls_faced,fours,sixes,innings,dismissals,fifties,hundreds,highest_score,strike_rate,batting_average
UT Khawaja,6,127,100,14,3,6,6,0,0,30,127.0,21.17
UT Yadav,48,208,201,16,9,48,21,0,0,24,103.48,9.9
Umar Gul,4,39,19,1,5,4,3,0,0,24,205.26,13.0
Umran Malik,5,23,16,1,2,5,1,0,0,19,143.75,23.0
Urvil Patel,10,197,96,11,20,10,10,1,0,65,205.21,19.7
V Kohli,275,9346,6930,847,317,277,231,68,9,113,134.86,40.46
V Nigam,10,157,89,18,8,10,8,0,0,39,176.4,19.62
V Pratap Singh,1,0,1,0,0,1,1,0,0,0,0.0,0.0
V Sehwag,104,2728,1755,334,106,104,99,16,2,122,155.44,27.56
V Shankar,63,1233,950,88,48,63,47,7,0,69,129.79,26.23
V Suryavanshi,23,1028,449,81,96,23,23,6,2,103,228.95,44.7
V Viyaskanth,1,7,5,0,0,1,0,0,0,7,140.0,
VG Arora,11,10,27,0,0,11,4,0,0,2,37.04,2.5
VH Zol,2,29,26,3,1,2,2,0,0,16,111.54,14.5
VR Aaron,12,50,72,2,2,12,5,0,0,17,69.44,10.0
VR Iyer,62,1677,1181,157,78,62,53,13,1,104,142.0,31.64
VRV Singh,2,4,3,1,0,2,2,0,0,4,133.33,2.0
VS Malik,2,7,7,1,0,2,1,0,0,6,100.0,7.0
VS Yeligati,1,2,2,0,0,1,1,0,0,2,100.0,2.0
VVS Laxman,20,282,267,33,5,20,18,1,0,52,105.62,15.67
VY Mahesh,5,15,27,0,0,5,2,0,0,6,55.56,7.5
Vijaykumar Vyshak,6,16,16,0,1,6,2,0,0,13,100.0,8.0
Virat Singh,2,15,26,1,0,2,2,0,0,11,57.69,7.5
Vishnu Vinod,7,71,65,4,4,7,6,0,0,30,109.23,11.83
Vivrant Sharma,1,69,47,9,2,1,1,1,0,69,146.81,69.0
W Jaffer,8,130,121,14,3,8,8,1,0,50,107.44,16.25
WA Mota,8,56,75,2,0,8,6,0,0,25,74.67,9.33
WD Parnell,13,65,80,4,1,13,10,0,0,16,81.25,6.5
WG Jacks,26,602,379,50,38,26,22,2,1,100,158.84,27.36
WP Saha,143,2934,2300,296,87,143,121,13,1,115,127.57,24.25
WPUJC Vaas,11,81,73,2,3,11,8,0,0,20,110.96,10.12
Washington Sundar,59,888,656,82,28,59,43,3,0,55,135.37,20.65
