batter,matches,runs,balls_faced,fours,sixes,innings,dismissals,fifties,hundreds,highest_score,strike_rate,batting_average
DJG Sammy,20,295,241,15,18,20,15,1,0,60,122.41,19.67
DJM Short,7,115,99,11,5,7,7,0,0,44,116.16,16.43
DL Chahar,20,142,103,8,9,20,10,0,0,39,137.86,14.2
DL Vettori,16,121,113,11,2,16,8,0,0,29,107.08,15.12
DM Bravo,1,6,5,1,0,1,0,0,0,6,120.0,
DNT Zoysa,2,11,9,1,0,2,1,0,0,10,122.22,11.0
DP Conway,28,1080,773,117,34,28,25,11,0,92,139.72,43.2
DP Nannes,2,4,13,0,0,2,1,0,0,3,30.77,4.0
DP Vijaykumar,1,1,1,0,0,1,0,0,0,1,100.0,
DPMD Jayawardene,78,1808,1464,200,40,79,64,10,1,110,123.5,28.25
DR Martyn,1,19,24,1,0,1,1,0,0,19,79.17,19.0
DR Sams,13,44,44,1,3,13,9,0,0,15,100.0,4.89
DR Shorey,2,13,17,0,1,2,2,0,0,8,76.47,6.5
DR Smith,88,2385,1764,245,117,88,84,17,0,87,135.2,28.39
DS Kulkarni,20,104,108,7,2,20,9,0,0,28,96.3,11.56
DS Lehmann,2,18,18,3,0,2,2,0,0,17,100.0,9.0
DS Rathi,3,3,8,0,0,3,1,0,0,2,37.5,3.0
