bowler,matches,legal_balls,runs_conceded,wickets,overs,economy
A Kamboj,25,491,816,31,81.5,9.97
MJ Santner,35,687,860,30,114.3,7.51
Shivam Mavi,32,649,942,30,108.1,8.71
CR Woakes,21,440,658,30,73.2,8.97
CJ Jordan,34,674,1081,30,112.2,9.62
Azhar Mahmood,23,537,700,29,89.3,7.82
AB Agarkar,42,782,1151,29,130.2,8.83
Umran Malik,26,493,772,29,82.1,9.4
Rasikh Salam,25,488,814,29,81.2,10.01
DL Vettori,34,777,879,28,129.3,6.79
DP Nannes,29,646,785,28,107.4,7.29
PV Tambe,33,660,853,28,110.0,7.75
A Singh,23,473,620,28,78.5,7.86
BA Stokes,38,689,992,28,114.5,8.64
MF Maharoof,20,420,520,27,70.0,7.43
Harmeet Singh,28,549,731,27,91.3,7.99
AD Mathews,44,791,1079,27,131.5,8.18
Suyash Sharma,39,803,1190,27,133.5,8.89
Shahbaz Ahmed,50,655,1069,27,109.1,9.79
Yash Thakur,22,467,825,27,77.5,10.6
DR Smith,46,539,810,26,89.5,9.02
Vijaykumar Vyshak,25,519,906,26,86.3,10.47
J Botha,34,694,800,25,115.4,6.92
SK Raina,69,908,1118,25,151.2,7.39
B Lee,38,875,1095,25,145.5,7.51
R Dhawan,36,662,891,25,110.2,8.08
Naveen-ul-Haq,17,387,591,25,64.3,9.16
Mukesh Choudhary,24,483,771,25,80.3,9.58
Navdeep Saini,32,670,983,24,111.4,8.8
AS Rajpoot,29,529,814,24,88.1,9.23
JP Duminy,49,678,834,23,113.0,7.38
GB Hogg,21,458,570,23,76.2,7.47
SW Tait,21,473,640,23,78.5,8.12
C Green,39,571,898,23,95.1,9.44
Akash Madhwal,17,352,590,23,58.4,10.06
Sohail Tanvir,11,247,266,22,41.1,6.46
STR Binny,63,594,758,22,99.0,7.66
BW Hilfenhaus,17,372,479,22,62.0,7.73
Basil Thampi,25,521,846,22,86.5,9.74
RE van der Merwe,21,443,498,21,73.5,6.74
K Gowtham,35,588,808,21,98.0,8.24
VY Mahesh,17,339,499,21,56.3,8.83
AS Joseph,22,434,691,21,72.2,9.55
N Burger,18,363,585,21,60.3,9.67
A Symonds,30,527,674,20,87.5,7.67
Mujeeb Ur Rahman,20,446,620,20,74.2,8.34
C Sakariya,20,444,638,20,74.0,8.62
AD Mascarenhas,13,308,356,19,51.2,6.94
KW Richardson,15,335,472,19,55.5,8.45
J Suchith,21,420,602,19,70.0,8.6
NT Ellis,17,378,546,19,63.0,8.67
JP Behrendorff,17,366,552,19,61.0,9.05
DS Rathi,23,546,826,19,91.0,9.08
Prince Yadav,20,450,688,19,75.0,9.17
RP Meredith,18,388,612,19,64.4,9.46
WPUJC Vaas,13,282,355,18,47.0,7.55
IC Pandey,24,462,591,18,77.0,7.68
CH Gayle,38,554,729,18,92.2,7.9
A Ashish Reddy,20,262,396,18,43.4,9.07
Anureet Singh,22,412,623,18,68.4,9.07
BB Sran,24,483,757,18,80.3,9.4
Arshad Khan,24,364,669,18,60.4,11.03
CRD Fernando,10,234,298,17,39.0,7.64
BJ Hodge,20,234,303,17,39.0,7.77
Bipul Sharma,28,426,572,17,71.0,8.06
Ashwani Kumar,10,183,334,17,30.3,10.95
R Shepherd,28,360,706,17,60.0,11.77
R Rampaul,12,268,309,16,44.4,6.92
D Wiese,15,296,440,16,49.2,8.92
KA Jamieson,15,300,506,16,50.0,10.12
Mohammad Nabi,23,417,517,15,69.3,7.44
RG Sharma,32,339,453,15,56.3,8.02
LR Shukla,27,314,447,15,52.2,8.54
YA Abdulla,11,209,307,15,34.5,8.81
AS Roy,22,323,479,15,53.5,8.9
Sakib Hussain,11,252,397,15,42.0,9.45
Azmatullah Omarzai,18,354,568,15,59.0,9.63
AM Ghazanfar,11,233,389,15,38.5,10.02
G Coetzee,14,273,472,15,45.3,10.37
AC Thomas,15,315,406,14,52.3,7.73
DR Sams,16,360,523,14,60.0,8.72
JR Hopes,20,360,548,14,60.0,9.13
SJ Srivastava,14,282,441,14,47.0,9.38
KR Sen,12,241,387,14,40.1,9.63
J Overton,13,204,332,14,34.0,9.76
Brijesh Sharma,13,273,450,14,45.3,9.89
PP Hinge,7,156,305,14,26.0,11.73
CK Langeveldt,7,156,187,13,26.0,7.19
RR Powar,26,426,527,13,71.0,7.42
ST Jayasuriya,21,294,390,13,49.0,7.96
S Lamichhane,9,210,292,13,35.0,8.34
CR Brathwaite,16,254,379,13,42.2,8.95
LS Livingstone,27,312,469,13,52.0,9.02
